Station Id,Station Name,Centre (Location),Business Domain,Total Project,Tags,Description,Project Domain,Title
8570,Bikaner Ceramics Pvt. Ltd,Bikaner,Chemical,1,"AnyA1,A1","The project focuses on studying the firing and sintering processes used in the production of porcelain electrical insulators. Students will analyze kiln operating conditions, temperature profiles, and firing cycles to understand their effect on product quality and energy consumption. The project will involve process mapping, identification of inefficiencies, and recommendations for improving thermal efficiency and process stability.Skill sets:  Basic chemical engineering fundamentals, Heat transfer conceptsExpected learning:  Students will gain exposure to industrial thermal processing systems, ceramic sintering mechanisms, kiln operation principles, and energy efficiency considerations in manufacturing processes.Specific courses required for project execution:  Chemical Engineering Thermodynamics, Heat Transfer, Material Sciences and Engineering",Chemical, Process Optimization and Thermal Efficiency Analysis in Ceramic Kiln Operations
8816,"Birla Cellulose, Grasim Industries Ltd",Vilayat,Chemical,1,"AnyA1,AnyA4,AnyAB,A1,A4,AB","Title:&nbsp;&nbsp;Usage of biomass in co gen power plants to reduce carbon foot print from Fossil fuels.Description: Market study, techno commercial feasibilitySkill sets: Analytical, Business development, thermal power plants operations, Expected learning: As stated above",Manufacturing,Usage of biomass in co gen power plants to reduce carbon foot print from Fossil fuels.
8825,Birla Education Trust - Technology & Art Training Centre (Formerly known as Birla Science Centre),Pilani,Finance and Mgmt,2,"AnyA3,AnyA7,AnyA8,AnyAA,A3,A7,A8,AA,AnyA3,AnyA7,AnyA8,AnyAA,A3,A7,A8,AA","Title: Al integration with Schools CurriculumDescription: 10T &amp; Al modulesSkill sets: Coding,Title: ARI VR- the future of Interactive ExhibitsDescription: Science Communication through AR/VR Skill sets: Coding/Al/loT&nbsp;","Software Hardware Inte artion,Software & Hardware Integration","Al integration with Schools Curriculum,ARI VR- the future of Interactive Exhibits"
8887,BITS BioCyTiH,Goa,Electronics,2,"AnyA3,AnyA8,AnyAA,AnyAC,AnyB1,AnyB2,A3,A8,AA,AC,B1,B2,AnyA3,AnyA8,AnyAA,AnyAC,AnyB1,AnyB2,A8,A3,AA,AC,B1,B2","Description: The intern will work on the design and validation of a PCB for a biomedical device underdevelopment at the BITS BioCyTiH incubator.Skill sets: familiarity with lab instruments such as oscilloscope and multimeter, and interest in PCBdesignExpected learning: PCB layout design and optimization, prototype developmentSpecific courses required for project execution: Electronic Devices and Circuits / BasicElectronics/Network Theory,Description: testing and evaluation of the sensing interface, and developing simple scripts forvisualization and analysis of acquired data.Skill sets: Basic knowledge of circuits and sensors, careful experimental work, basic Python/MATLABskills for plotting and analysis,Expected learning: experimental design and troubleshooting protocolsSpecific courses required for project execution: Basic Electronics / Analog Electronics, and basicprogramming knowledge.","Electronics,Biomedical","Design, validation, and development of a printed circuit board,electrode interface and signal quality for a sensor"
8611,Blueinfy Solutions Pvt. Ltd,Ahmedabad,CSIS/IT,2,"AnyA7,A7,AnyA7,A7","Title: BLUEAI – AI Driven Penetration Testing FrameworkDescription: The framework leverages AI technology to perform penetration testing which is comparable to that of a professional human penetration tester. Powered by LLM models and AI agents, it systematically evaluates for common application vulnerabilities, including some of the OWASP TOP 10 vulnerabilities like XSS, SQL injection, CSRF, and others.Required Skillsets: Application Security Fundamentals, Programing in Python, C# or Java, AI/LLM UnderstandingExpected learning: Application Security Fundamentals, Agentic AI based technology and Core programing.Specific courses required for project execution - Application Security Fundamentals.,Title: AI Agents Security ScannerDescription: The scanner identifies insecure AI agents and MCP endpoints by analyzing these components across various platforms, including Microsoft Azure Copilot Studio, AI Foundry, MCP servers, and similar environments.Required Skillsets: Agentic AI, Cloud technology, Programing in Python, C# or Java, AI/LLMExpected learning: Application Security Fundamentals, Agentic AI based technology and Core programing.Specific courses required for project execution: Cloud Technology (Azue) and Agentic AI",Software Development,"BLUEAI – AI Driven Penetration Testing Framework,AI Agents Security Scanner"
8644,Brahmaputra Bridge Construction Sub-Division-III,Kamrup,Infrastructure,1,"AnyA2,A2",Title: Assam Bridge-II Project (Construction of 4-lane Extradosed PSC Bridge over River Brahmaputra connecting Palashbari and Sualkuchi)Description: Major Extradosed Bridge Project,Infrastructure,Assam Bridge-II Project (Construction of 4-lane Extradosed PSC Bridge over River Brahmaputra connecting Palashbari and Sualkuchi)
6849,Breathe ESG Private Limited - Nontech,Bengaluru,CSIS/IT,4,"Any,Any,Any,Any","About the RoleSupport ESG research, data analysis, and reporting for our platform. Gain hands-on experience in sustainability metrics, regulatory frameworks, and ESG benchmarking. Collaborate with product, business, and domain expert teams.Key ResponsibilitiesResearch ESG regulations, standards (GRI, SASB, TCFD), and sustainability frameworks.Collect, clean, and analyze ESG data from corporate reports and databases.Assist in developing ESG scoring models and benchmarking tools.Support creation of ESG reports, dashboards, and client deliverables.Conduct sector-specific sustainability trend analysis and case studies.Help validate ESG data quality and identify data gaps.Participate in client workshops and contribute to thought leadership content.QualificationsCurrently pursuing B.E./B.Tech, BBA, MBA, or related degree from BITS Pilani (any campus).Strong analytical skills and attention to detail.Genuine interest in ESG, sustainability, and climate action.Proficiency in Excel; basic data analysis skills required.Excellent research abilities and report writing skills.Ability to work with cross-functional teams.Preferred SkillsFamiliarity with ESG frameworks (GRI, CDP, Science Based Targets).Experience with data visualization tools (Tableau, Power BI).Knowledge of sustainability metrics and carbon accounting.Basic Python/R for data analysis is a plus.Exposure to sustainability coursework or certifications.Understanding of Indian ESG regulations and SEBI BRSR requirements.What You Will GainDeep exposure to ESG domain and sustainability consulting.Hands-on experience with real client ESG datasets and deliverables.Work on platform features that impact enterprise sustainability.Mentorship from ESG domain experts and sustainability leaders.Build specialized portfolio in high-demand ESG field.Network with industry professionals in sustainability space.,About the RoleDrive customer acquisition, activation, and growth experiments for our ESG platform. Work with marketing, product, and sales teams to test growth strategies, analyze campaign performance, and optimize conversion funnels in a data-driven environment.Key ResponsibilitiesExecute multi-channel growth campaigns (LinkedIn, email, webinars, content).Run A/B tests on landing pages, email sequences, and ad creatives.Analyze user acquisition funnels and identify growth bottlenecks.Support lead generation through content syndication and partnerships.Track campaign ROI and create performance dashboards.Research growth opportunities in ESG/sustainability sectors.Assist in building growth playbooks and experiment roadmaps.QualificationsCurrently pursuing B.E./B.Tech, BBA, or related degree from BITS Pilani (any campus).Strong analytical mindset and experimentation skills.Interest in growth marketing, SaaS, and B2B customer acquisition.Proficiency in Excel/Google Sheets for data analysis.Basic understanding of digital marketing channels.Excellent communication and presentation skills.Preferred SkillsExperience with Google Analytics, Mixpanel, or HubSpot.Familiarity with LinkedIn Ads, Google Ads, or email marketing tools (Mailchimp).Knowledge of SQL or basic data analysis (Python/R).Exposure to growth hacking frameworks (AARRR, ICE scoring).Content creation experience (blogs, social media, case studies).Understanding of ESG/sustainability marketing challenges.What You Will GainHands-on growth marketing experience in SaaS environment.Master customer acquisition funnels and growth experimentation.Work on real campaigns impacting platform growth.Learn analytics tools and growth frameworks from experts.Build portfolio of measurable growth experiments.Network with growth professionals in sustainability tech.,About the RoleSupport the design of user-centric ESG platform features. Collaborate with product, engineering, and business teams to deliver pixel-perfect UI/UX for dashboards, reports, and analytics tools in a collaborative SaaS environment.Key ResponsibilitiesCreate wireframes, prototypes, and high-fidelity designs for new features.Design intuitive dashboards and data visualization components.Conduct user research and usability testing sessions.Collaborate with developers to ensure design fidelity in implementation.Maintain design systems and component libraries.Create user flows, journey maps, and interface guidelines.Support accessibility and responsive design requirements.QualificationsCurrently pursuing B.E./B.Tech, B.Des, or related degree from BITS Pilani (any campus).Proficiency in Figma, Adobe XD, or Sketch.Strong understanding of UI/UX principles and design thinking.Passion for designing data-heavy SaaS applications.Excellent visual design skills and attention to detail.Ability to collaborate with cross-functional teams.Preferred SkillsExperience with data visualization design (charts, graphs, metrics).Knowledge of design systems and component libraries.Familiarity with HTML/CSS and prototyping tools (Framer).Understanding of accessibility standards (WCAG).Exposure to ESG/sustainability domain or enterprise SaaS.Motion design or micro-interaction experience.,About the RoleAssist the product team in developing and enhancing our ESG platform. Gain hands-on experience in product strategy, user research, feature planning, and analytics within a collaborative SaaS environment. Work closely with product, engineering, business, and design teams.Key ResponsibilitiesResearch user needs, market trends, and competitive landscapes in ESG/sustainability.Document product requirements, user stories, and feature specifications.Track development progress with engineering and design teams.Analyze user feedback and product usage data for improvement opportunities.Support product testing, QA, and feature validation.Create product documentation, feature guides, and internal resources.Conduct competitive analysis and benchmarking.Project based engagement will be involved as part of this Internship.QualificationsPursuing or recently completed Bachelor’s/Master’s in Engineering, Management, Sustainability, Business, or related fields.Strong analytical and problem-solving skills.Passion for product development, SaaS platforms, and technology.Excellent communication and documentation abilities.Familiarity with Excel, Notion, Jira, or similar tools (preferred).Preferred SkillsKnowledge of product lifecycle and Agile methodologies.Basic data analysis or product metrics experience.Interest in ESG, sustainability, or climate-tech.What You Will GainPractical exposure to SaaS product development.Work on live features and strategy discussions.Mentorship from seasoned product and tech leaders.Build a strong portfolio in product management.","Finance,Growth,Product Design,Product Management","ESG,Growth,Product Design,Product Management"
6714,Breathe ESG Private Limited - Tech,Bengaluru,CSIS/IT,1,Any,"About the RoleSupport the engineering team in building and optimizing our ESG platform. Gain hands-on experience in full-stack development, API integration, and SaaS infrastructure within a collaborative tech environment. Work alongside product, design, and business teams.Key ResponsibilitiesDevelop and maintain backend services, APIs, and database integrations.Build responsive frontend components using modern frameworks.Collaborate with product teams to implement features from requirements.Write clean, testable code and conduct unit/integration testing.Optimize application performance and troubleshoot production issues.Participate in code reviews, agile sprints, and deployment processes.Assist in setting up CI/CD pipelines and monitoring tools.QualificationsStrong proficiency in at least one programming language (Python, JavaScript, Java, Go preferred).Familiarity with web technologies (REST APIs, databases, cloud services).Solid understanding of data structures, algorithms, and software engineering principles.Passion for building scalable SaaS applications.Good problem-solving and teamwork skills.Preferred SkillsExperience with frameworks like React, Node.js, Django/Flask, or Spring Boot.Knowledge of cloud platforms (AWS, GCP) and containerization (Docker).Familiarity with databases (SQL/NoSQL) and version control (Git).Exposure to ESG tech, sustainability data, or climate-tech domains.Contributions to open-source projects or personal coding portfolios.What You Will GainReal-world SaaS development experience on live platform features.Exposure to full software development lifecycle in agile environment.Mentorship from senior engineers and tech leads.Opportunity to work with cutting-edge ESG technology stack.Build portfolio projects with measurable business impact.",IT,Tech
8580,BSNL Zira,Firozpur,Electronics,2,"Any,Any","Description: This project focuses on understanding and analysing the deployment of FTTH networksin BSNL. It includes studying the architecture of fiber optic communication systems, components suchas Optical Line Terminal (OLT), Optical Network Terminal (ONT), splitters, and fiber distributionnetworks. The project will involve evaluating network performance in terms of bandwidth, latency, signalattenuation, and reliability in real-world conditions.Skill sets:Basic knowledge of communication systemsUnderstanding of fiber optics fundamentals Data analysis and interpretationExpected learning: End-to-end understanding of FTTH network architecture Practical insights into fiber optic communication systems Analysis of network performance metrics (latency, attenuation, throughput) Exposure to real-world telecom infrastructure and deployment challengesSpecific courses required for project execution: Basic understanding of mathematics and logical reasoning Familiarity with fundamental science concepts (physics/technology),Description: This project aims to analyse broadband usage and network performance data in BSNL’sFTTH services to identify inefficiencies and optimise service delivery. It involves working with datasetsrelated to bandwidth usage, customer complaints, downtime, and service quality, and applying analyticalor machine learning techniques to improve network reliability and customer experience.Skill sets:Basic analytical and problem-solving skills Interest in understanding communication technologies Ability to interpret simple data and observationsExpected learning: Basic understanding of data analysis in telecom systems Exposure to real-world network performance and usage Understanding how data is used to improve servicesSpecific courses required for project execution: No specific course requirement Basic logical thinking and numerical understanding Willingness to learn basic tools during the project","Telecommunications,Data Analytics","Title: Design and Performance Analysis of FTTH (Fiber-to-the-Home) Network Infrastructure,Title: Data-driven Optimization of Broadband Service Quality in FTTH Networks"
5361,Caarya Innovative Pvt. Ltd,Visakhapatnam,CSIS/IT,5,"A7,AnyA7,A7,AnyA7,A7,AnyA7,A7,AnyA7,A7,AnyA7","Description: Your workspace to manage knowledge, your venture portfolio, your careerpathways, explore careers and your work experience tracks.Curated nano learning being a part of it.Skill sets:Frontend developmentBackend developmentDatabase design and managementDashboard / workspace UI developmentAPI integrationAI/ML integrationExpected learning:Designing digital workspaces Structuring systems for knowledge and venture trackingBuilding dashboards to organize multiple user activitiesSpecific courses required for project execution:Data Structures and Algorithms Database Management SystemsWeb DevelopmentSoftware EngineeringArtificial Intelligence / Machine Learning,Description: Assessments to help you understand yourself better and tools to build yourdream recruiter profile.Skill sets:Frontend development Backend development Form and assessment system development Data structuring and profile building Basic analytics or scoring logic AI/ML integrationExpected learning:Designing digital assessment tools Structuring user profile systems Converting assessment outputs into structured recruiter profilesSpecific courses required for project execution:Data Structures Database Management SystemsWeb DevelopmentHuman Computer InteractionArtificial Intelligence / Machine Learning,Description: A platform where students can take up work orders or work on use cases orventures to build their skill sets by executing structured problem statements and projects.Skill sets: Full stack development Platform design Database management Workflow system design Basic algorithm design for task allocationAI/ML integrationExpected learning:Designing platforms that manage work orders and project execution Structuring systems where users can take up and complete tasks Understanding how project workflows and skill development platforms operateSpecific courses required for project execution: Data Structures and AlgorithmsDatabase Management Systems Software Engineering Web Application Development Artificial Intelligence / Machine Learning,Description: A sponsorship leverage dashboard where student clubs and nanoinfluencers can register themselves and brands can sponsor club events or hire studentnano influencers to do PR and marketing for the brand.Skill sets:Full stack developmentMarketplace platform designDashboard development Data management and analytics API integration AI/ML integrationExpected learning:Designing two-sided platforms connecting brands and student communities Structuring dashboards for campaigns and sponsorshipsUnderstanding digital marketing and influencer ecosystemsSpecific courses required for project execution:Data StructuresDatabase Systems Web Development Software Engineering Data AnalyticsArtificial Intelligence / Machine Learning,Description: A portal designed to track and manage the daily operations of a pod, wherepod leads can log their work, track tasks, maintain a daily journal, and update theiroperational status.Skill sets: Frontend development Full stack development Dashboard developmentDatabase managementWorkflow tracking system design Calendar and scheduling system integration AI/ML integrationExpected learning:Designing internal operations management systemsBuilding workflow and task tracking dashboardsStructuring systems for team coordination and operational visibilityDeveloping tools that reduce manual reporting and communication overheadSpecific courses required for project execution:Data Structures and AlgorithmsDatabase Management Systems Software Engineering Web Application Development Information Systems Design Artificial Intelligence / Machine Learning","Data Science,Computer Science,Machine Learning","Title: Caarya Space,Title: Caarya Me,Title: VibeStudio,Title: Wave,Title: Pod Operations Platform"
8786,Caparizon Software Pvt Ltd,Kochi,CSIS/IT,1,"AnyA1,AnyA4,AnyA7,AnyA8,AnyB2,AnyB3,A7,A8,A1,A4,B2,B3",AI and Data Analysis,Yet to be finalized,AI and Data Analysis
8506,CarbonM FuelMax Technology Private Limited,Hyderabad,Mechanical,2,"AnyA1,AnyA4,AnyB2,AnyAB,A1,A4,B2,AB,AnyB2,B2","Description: Development of low-cost sensing systems to measure critical fuel parametersand enable closed-loop process control for alternative fuels.Skill sets: Thermodynamics, reaction engineering, instrumentation basics, experimentalmethods,Description: Development of extractants using quantum chemistry, molecular dynamics,and ML-guided screening.Skill sets: Physical chemistry, Python, molecular simulations, data analysis","Chemical,Mechanical","Real-time fuel quantification sensors for pyrolysis oil standardization,Molecular design of extractants for desulfurization and decolorization of pyrolysis oil"
8808,Celebal Technologies,Jaipur,CSIS/IT,4,"Any,Any,Any,Any","Title: AI-Powered Executive Dashboard &amp; Business Review Automation for the CEO Office.&nbsp;&nbsp;&nbsp;Description: Build an automated reporting system that gives the CEO real-time visibility into companywide KPIs : revenue, project health, employee headcount, partner pipeline, and client satisfaction. Collect data from multiple sources (CRM, HRMS, finance sheets), clean and integrate it, and create interactive dashboards with automated refresh. Additionally, build an AI-powered weekly briefing generator that summarizes key business highlights, risks, and action items using LLMs.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Skill Sets: Data collection &amp; cleaning (Python, Pandas), dashboard development (Power BI / Streamlit), API integration, LLM prompt engineering (OpenAI / Azure OpenAI), workflow automation (n8n / Power Automate), basic SQL, business KPI understanding.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Expected Learning: How to integrate data from multiple business systems into a single reporting layer, build interactive dashboards for leadership consumption, use AI/LLMs to auto-generate business summaries, and understand what KPIs matter at the CEO level in a services company. &nbsp;Specific Courses Required: Python for Data Science Prompt Engineering for LLM Applications SQL for Beginners&nbsp;,Title: Chief Strategist Office – Market Intelligence &amp; Strategy Operations Framework &nbsp;Description: Build a structured strategy operations function that automates competitive intelligence gathering, market sizing, and partner/GTM performance tracking. Includes creating repeatable frameworks for evaluating new service lines, geographies, and partnerships : supported by automated data feeds from CRM, finance, and delivery systems. The goal is to move from reactive strategy inputs to a proactive, datadriven strategy cockpit. &nbsp;Skill Sets: Market research &amp; competitive analysis, data analytics (Python/SQL), CRM analytics (HubSpot/Salesforce), strategic frameworks (Porter's, TAM/SAM/SOM, Ansoff Matrix), workflow automation (n8n, Power Automate), presentation design, financial modeling basics. &nbsp;Expected Learning: How to build and maintain a competitive intelligence engine, automate market and GTM data pipelines, structure strategy reviews with quantitative rigor, and operationalize strategic planning cycles (quarterly/annual) Specific Courses Required: •&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;SQL for Business Analysts •&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;n8n or Power Automate workflow automation Financial Modeling Foundations&nbsp;,Description: Build an integrated operations command center that tracks project delivery health, resource utilization, bench strength, SLA compliance, and client satisfaction in real time. Automate operational workflows including resource allocation, timesheet aggregation, onboarding/offboarding, and escalation management. Establish SOPs and process playbooks for repeatable operational functions across all delivery units. &nbsp;Skill Sets: Operations management, process re-engineering (Lean/Six Sigma basics), project management tools (Jira, Monday.com, MS Project), workflow automation (n8n, Power Automate), HRIS/resource management systems, data analytics (SQL, Python), SLA and KPI framework design. &nbsp;Expected Learning: How to design and implement an operations dashboard for a 2,500+ person services firm, automate resource and delivery workflows, build SOP libraries, and create feedback loops between delivery, HR, and finance functions. &nbsp;Specific Courses Required: Jira Administration (Optional) n8n or Power Automate for Operations &nbsp;People Analytics Fundamentals&nbsp;,Title: Investor &amp; Growth Office: Fundraising Ops, Growth Metrics &amp; Investor Reporting Automation.&nbsp;&nbsp;Description: Establish a structured investor relations and growth operations function. Automate the creation of investor updates, board decks, and growth metric dashboards (ARR, logo acquisition, retention, NDR, pipeline velocity). Build repeatable models for scenario planning, valuation tracking, and fundraising readiness. Streamline data flows from CRM, finance, and delivery into a single investor-grade reporting layer.&nbsp;Skill Sets: Financial modeling &amp; valuation (DCF, comparable analysis), investor communication, CRM analytics, dashboard design (Power BI / Looker), pitch deck storytelling, SaaS/services metrics (ARR, NDR, LTV, CAC), data integration, presentation design. &nbsp;Expected Learning: How to build investor-grade reporting from internal systems, design growth metric frameworks for a consulting/AI firm, prepare data rooms and fundraising materials, and automate board reporting cadence. Specific Courses Required: Financial Modeling &amp; Valuation for Startups / Growth Companies SaaS Metrics &amp; Unit Economics Advanced Power BI / Looker for Executive Reporting • &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Investor Communication &amp; Pitch Storytelling&nbsp;","Automation,Market research","AI-Powered Executive Dashboard & Business Review Automation for the CEO Office,Chief Strategist Office – Market Intelligence & Strategy Operations Framework ,COO Office – Operational Excellence & Delivery Workflow Automation , Investor & Growth Office: Fundraising Ops, Growth Metrics & Investor Reporting Automation. "
8597,Center for Development of Advanced Computing(C-DAC) - Pune,Pune,CSIS/IT,5,"AnyA7,AnyB4,AnyB3,A7,B4,B3,AnyA7,AnyB3,AnyB4,A7,B4,B3,AnyA7,AnyB4,AnyB3,A7,B4,B3,AnyA7,AnyB4,AnyB3,A7,B4,B3,AnyB3,AnyB4,AnyA7,A7,B3,B4","Description: Enabling packet level, SLA driven micropayments across heterogenous multi-hop networks.Skill sets: Web3, Computer Networks, Network Security and CryptographyExpected learning: Protocol Design,Description: Design and development of quantum secure lattice-based cryptographic algorithms (e.g., Kyber, Dilithium) on non-volatile FPGAs to build HSM.Skill sets: FPGA, Quantum Cryptographic Primitives in HardwareExpected learning: FPGA-based secure module development,Description: Secure processing and analytics on encrypted data along with cryptographic verification of large-scale computationsSkill sets: Web3, Computer Networks, Network Security and CryptographyExpected learning: Design of secure and trustful systems,Description: AI-based Analytics on BFSISkill sets: AI/ML, Web3, Mathematics, Economics/Statistics/Banking and FinancialsExpected learning: AI-based Analytics Design,Title: Energy Efficient Computing on Next-Gen HPC SystemsDescription: Benchmark and optimize HPC applications, analyze performance and energy usage, and contribute to designing efficient supercomputing systems.Skill sets: Computer architectures, Linux, FORTRAN, C/C++, Python, basic parallel programmingExpected learning: System performance analysis, energy optimization, and green computing metrics","Micropayment,Electronic Hardware,Confidential and Verifiable computation,BFSI,HPC","Title: Pay As You Forward Micropayment,Title: FPGA-based Post Quantum Hardware Security Module (PQ-HSM),Title: Trusted, Confidential and Verifiable Computing,Title: AI-based Analytics on RegTech, FinTech and BFSI,Title: Energy Efficient Computing on Next-Gen HPC Systems"
8515,Center for DNA Fingerprinting and Diagnostics,Hyderabad,Others,1,"AnyA5,AnyA7,AnyB1,A5,A7,B1",-,Healthcare,Details awaited
8874,Center for Materials for Electronics Technology (C-MET) Thrissur,Thrissur,Electronics,1,"A3,AA,A8,AJ",Details awaited,Electronics,Details awaited
8514,"Center for Materials for Electronics Technology (C-MET), Hyderabad",Hyderabad,Electronics,1,"AJ,A3,A8,AA",Details awaited ,Ultra-pure materials  E-waste recycling,PS INTERN 
4580,"Center for Materials for Electronics Technology (C-MET), Pune",Pune,Electronics,1,"A3,AA,A8,AJ",-,LTCC packaging  Li-ion battery materials,PS 1 INTERN
6938,Central Institute of Road Transport – Chemical,Pune,Mechanical,1,"AnyA1,A1",&nbsp;Fuel cell&nbsp;,Yet to be finalized, Fuel cell 
6937,Central Institute of Road Transport - Electrical & Electronics,Pune,Mechanical,1,"AnyA3,AnyA8,AnyAA,A3,A8,AA",Functional safety of batteries,Yet to be finalized,Functional safety of batteries
4826,Central Institute of Road Transport - IT,Pune,Mechanical,1,"AnyA7,A7", Software development related to the CIRT,Yet to be finalized,: Software development related to the CIRT
6936,Central Institute of Road Transport - Mechanical,Pune,Mechanical,1,"AnyA4,AnyAB,A4,AB",Hydrogen-fueled vehicles,Yet to be finalized, Hydrogen-fueled vehicles
8595,Centre for Development of Advanced Computing (CDAC) - Hyderabad,Hyderabad,CSIS/IT,1,"AnyA3,AnyA8,AnyAA,AnyA7,AnyAC,A3,AA,AC,A7,A8","Description: It is aimed at developing indigenous product for accelerating latest AI modelsSkill sets: VLSI / Electronics (HDL programming), CS / AIDS (AI-ML frameworks and Model)Expected learning: VLSI design of developing using latest technologies and nodesSpecific courses required for project execution: Computer architecture, Digital designs","VLSI Design,AI",IP development for AI Hardware Accelerator / AI workload optimization
8600,Centre for Development of Advanced Computing (CDAC) - Thiruvananthapuram,Thiruvananthapuram,CSIS/IT,2,"AnyA3,AnyA8,AnyA7,AnyAA,A3,A8,AA,A7,A4,AnyA4","-,--","Yet to be finalized,Mechanical","Microprocessor Development Programme,Smart Locomotive Digital Twin"
8883,Centre for Development of Advanced Computing (CDAC) Kolkata,Kolkata,CSIS/IT,1,"AnyA3,AnyA7,AnyA8,AnyAA,A3,A7,A8,AA","Description:&nbsp;Skill sets: Electronics, Computer science/ITExpected learning: Python programming, CAD tool&nbsp;Specific courses required for project execution:",Python,Title: Autonomous outdoor field robot
8883,Centre for Development of Advanced Computing (CDAC) Kolkata,Kolkata,CSIS/IT,1,"AnyA3,AnyA7,AnyA8,AnyAA,A7,A3,A8,AA","Description:&nbsp;Skill sets: Electronics, Computer Science/ITExpected learning:Specific courses required for project execution:","Electronics,Computer Science",Title: Robotic serial manipulator
8883,Centre for Development of Advanced Computing (CDAC) Kolkata,Kolkata,CSIS/IT,1,"AnyA3,AnyA7,AnyA8,AnyAA,A3,A7,A8,AA","Description:&nbsp;Skill sets: Electronics, Computer Science/ITExpected learning:Specific courses required for project execution:","Electronics,Computer Science",Title: Robotic Delta manipulator
8883,Centre for Development of Advanced Computing (CDAC) Kolkata,Kolkata,CSIS/IT,1,"AnyA3,AnyA7,AnyA8,AnyAA,A3,A7,A8,AA","Description:&nbsp;Skill sets: Electronics, Computer Science/ITExpected learning:Specific courses required for project execution:","Electronics,Computer Science",Title: Quantum computing
8883,Centre for Development of Advanced Computing (CDAC) Kolkata,Kolkata,CSIS/IT,1,"AnyA3,AnyA7,AnyA8,AnyAA,A3,A7,A8,AA","Description:&nbsp;Skill sets: Bio Technology, Computer Science/ITExpected learning:Specific courses required for project execution:","Electronics,Computer Science",Title: Bio Sensing System
7029,"Centre for High Impact Neuroscience and Translational Applications, TCG CREST",Kolkata,Electronics,1,"AnyA3,AnyA7,AnyA8,AnyAA,A3,A7,A8,AA","Description: The aim of this project is to analyze video recordings of insects navigating an open arena under various experimental conditions. This requires training a deep neural network model to identify specific types of insects in images and segment them (instance segmentation). The candidate will plug the trained model into the Argos toolkit and use it to extract the tracks of the insects over time. They will then analyze these tracks to identify the strategies that that insects use for navigation. They will also use pose estimation tools like DeepLabCut to find finer details of the posture of the animals and classify their behavior. Finally, they will standardize and document these methods to develop a workflow for analyzing animal behavior from video recordings.Skill sets: Python programming, Scientific Python (scipy, scikits-learn, Pytorch), AI/ML, Image processingExpected learning: Software engineering, AI/ML, Computer VisionSpecific courses required for project execution: Computer Programming, Introductory AI/ML, Image Processing, Computer Vision",Data Science,Title: Video analysis for animal behavior
7029,"Centre for High Impact Neuroscience and Translational Applications, TCG CREST",Kolkata,Electronics,1,"AnyA3,AnyA8,AnyA7,AnyAA,A3,A7,AA,A8","escription: Train UNet-based algorithms to generate neural segmentation and analyze organ morphologySkill sets: Machine learning-based algorithms, coding in pythonExpected learning: Quantitative analysis of neuroimaging data using deep learning methodSpecific courses required for project execution: Skill in machine learning and coding in python",Machine Learning,Title: Machine learning-based deep phenotyping of neural organs
4527,"Centre for Military Airworthiness & Certification (CEMILAC), DRDO",Bengaluru,Mechanical,1,"AnyA3,AnyA8,AnyA4,AnyA7,AnyAA,A7,A4,A3,A8,AA,AB",-,Yet to be finalized,Details awaited 
5403,Centre for Railway Information Systems,Delhi,CSIS/IT,6,"AnyA3,AnyA8,AnyAA,AnyA4,AnyAB,A3,A8,AA,A4,AB,AnyA3,AnyA8,AnyAA,AnyA4,AnyAB,A3,A8,AA,A4,AB,AnyA3,AnyA8,AnyAA,AnyA4,AnyAB,A3,A8,AA,A4,AB,AnyA3,AnyA8,AnyAA,AnyA4,AnyAB,A3,A8,AA,A4,AB,AnyA3,AnyA8,AnyAA,AnyA4,AnyAB,A3,A8,AA,A4,AB,AnyA3,AnyA8,AnyA4,AnyAA,AnyAB,A3,A8,AA,A4,AB","-,-,-,-,-,-",Yet to be finalized,"EPS-IR-NIYANTRAK,TDMS,CTCH,DATA Center(Electrical/Mechanical),CMM,FMM"
8645,"Centre for Railway Information Systems, Secunderabad",Secunderabad,CSIS/IT,1,Any,"Skill Set Requirements(Mostlystudents havingBackgroud on CS Engg, AI ML, Data Science,)","Data Science,AI & ML",Details awaited
